0.1	0.1	0.1	100	0.3	0.1	0.1	100	0.2
0.5	1	1	1	0.5	1	1	1	1.001
0.0875	0.025	0.025	200	0.0875	0.025	0.025	200	0.06
0.6	0.2	0.2	500	0.2	0.2	0.2	500	0
0.0287	0.022	0.0302	10	0.0287	0.022	0.0302	10	0.03021
0.0287	0.022	0.0302	10	0.0287	0.022	0.0302	10	0.04
0.0287	0.022	0.0302	10	0.0287	0.022	0.0302	10	0.065
0.1	0.1	0.1	100	0.1	0.1	0.1	100	0.2
1.2	0.05	0.25	100	1	0.05	0.2	10	0.5
0.68	0.001	0.002	1	0.682	0.001	0.002	1	0.007
0.68	0.001	0.01	1	0.685	0.001	0.01	1	0
0.68	0.001	0.01	1	0.68	0.001	0.01	1	0.015
1.1	0.03	0.04	80	1.11	0.03	0.015	70	0.0325
0.4	0.05	0.05	50	0.55	0.01	0.075	200	0.0375
0.1	0.01	0.01	90	0.11	0.02	0.02	60	0.025
4.675	0.0127	0.00254	1	4.695	0.0127	0.00254	1	0.003
5.9	0.072	0.0223	1	6	0.072	0.0223	1	0.03
2.65	0.032	0.0036	1	2.75	0.032	0.0036	1	0.004
1.5	0.02	0.0039	1	1.6	0.02	0.0039	1	0.004



