0.1	0.1	0.65	1	0.3	0.1	0.36	1	0.005	0.01
0.1	0.1	2.5	1	0.3	0.1	0.4	1	0.25	0.05
0.1	0.1	2.2	1	0.3	0.1	0.5	1	0.35	0.08
0.1	0.1	1.8	1	0.3	0.1	0.3	1	0.15	0.1
0.1	0.1	1.5	1	0.3	0.1	1.5	1	0.0	0.02
0.1	0.1	0.2	1	0.3	0.1	0.11	1	0.015	0.8
0.1	0.1	0.4	1	0.3	0.1	0.27	1	0.035	1.2
0.1	0.1	0.7	1	0.3	0.1	0.5	1	0.0	1.7
0.1	0.1	0.9	1	0.3	0.1	0.9	1	0.0	2.0
0.1	0.1	1.2	1	0.3	0.1	0.7	1	0.25	2.2
0.1	0.1	1.3	1	0.4	0.1	1.5	1	1.0	0.05
0.4	0.1	2.2	1	0.1	0.1	1.7	1	1.15	0.02
0.4	0.1	2.1	1	0.1	0.1	1.4	1	1.05	0.1
0.4	0.1	2.1	1	0.1	0.1	1.0	1	0.55	0.15
0.1	0.1	2.8	1	0.4	0.1	2.8	1	0.0	0.12
0.1	0.1	0.15	1	0.4	0.1	0.1	1	0.075	0.9
0.1	0.1	0.3	1	0.4	0.1	0.3	1	0.1	1.5
0.1	0.1	0.5	1	0.4	0.1	0.35	1	0.125	1.8
0.1	0.1	0.8	1	0.4	0.1	0.4	1	0.2	2.3
0.1	0.1	1.1	1	0.4	0.1	0.3	1	0.7	2.5
0.2	0.2	0.8	1	0.3	0.2	0.8	1	1.7	0.01
0.2	0.2	0.7	1	0.3	0.2	0.8	1	1.55	0.03
0.2	0.2	0.6	1	0.3	0.2	0.8	1	1.4	0.06
0.2	0.2	1.1	1	0.3	0.2	0.8	1	1.75	0.1
0.2	0.2	1.3	1	0.3	0.2	0.9	1	2.2	0.15
0.2	0.2	0.3	1	0.3	0.2	0.2	1	0.35	1.4
0.2	0.2	0.6	1	0.3	0.2	0.2	1	0.5	1.9
0.2	0.2	0.5	1	0.3	0.2	0.6	1	0.55	2.2
0.2	0.2	1.0	1	0.3	0.2	0.85	1	0.975	2.9
0.2	0.2	1.2	1	0.3	0.2	1.2	1	1.2	3.7
0.2	0.1	0.3	1	0.7	0.8	0.15	1	0.025	0.2
0.1	0.2	0.2	1	0.9	0.4	0.13	1	0.015	0.3
0.6	0.1	0.3	1	0.9	0.5	0.2	1	0.05	0.1
0.4	0.2	0.4	1	1.0	0.2	0.3	1	0.05	0.2
0.7	0.2	3.2	1	1.1	0.1	3.0	1	0.0	2.7
0.2	0.2	1.7	1	0.3	0.2	0.6	1	1.15	1.6
0.9	0.4	2.4	1	0.5	0.2	2.7	1	0.05	2.4
0.3	0.2	1.4	1	0.4	0.2	0.8	1	0.3	1.5
